Brand,Make_Model,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Audi,Audi A1 (TFSI),06/01/2024,"€4,800.00",2012,"130,377",Hatchback,Manual,Petrol,Grey Audi A11.4 TFSI Sport Euro 5 (s/s) 3dr2 previous owners,Waterford
Audi,Audi Q7 (S line Plus),07/01/2024,"€14,450.00",2012,"91,483",SUV,Automatic,Diesel,Blue Audi Q73.0 TDI S line Plus Tiptronic quattro 5dr1 previous owner,Clare
Audi,Audi RS3 (TFSI),09/01/2024,"€70,256.00",2022,"3,869",Saloon,Automatic,Petrol,Black Audi RS3 SALOON2.5 RS 3 TFSI QUATTRO VORSPRUNG 4d 395 BHP TOP SPEC+S/S SEATS+MATRIX LED2 previous owners,Mayo
Audi,Audi A3 (S line),09/01/2024,"€10,308.00",2013,"83,389",Hatchback,Manual,Diesel,Black Audi A32.0 TDI S line Hatchback 3dr Diesel Manual Euro 5 (s/s) (150 ps)4 previous owners,Limerick
Audi,Audi A6 Saloon (ultra),2024-01-09,"€21,833.00",2018,"42,918",Saloon,Automatic,Diesel,Red Audi A6 Saloon2.0 TDI Ultra Black Edition 4dr S Tronic Leather Seats,Dublin
Audi,Audi S3 (TFSI),2024-01-09,"€20,345.00",2016,73451,Hatchback,Automatic,Petrol,Blue Audi S32.0 TFSI Sportback 5dr Petrol S Tronic quattro Euro 6 (s/s) (310 ps)4 previous owners,Laois
Audi,Audi Q2 (TFSI),10/01/2024,"€27,307.00",2020,"17,520",SUV,Automatic,Petrol,Audi Q2S line 35 TFSI 150 PS S tronic 1.5 5dr,Dublin
Audi,Audi Q2 (CoD),10/01/2024,"€19,056.00",2018,"60,224",SUV,Automatic,Petrol,Blue Audi Q21.4 TFSI CoD S line S Tronic Euro 6 (s/s) 5dr1 previous owner,Donegal
Audi,Audi TT (TFSI),10/01/2024,"€ 7,166",2009,"55,056",Convertible,Manual,Petrol,Red Audi TT2.0 TFSI Roadster 2dr Petrol Manual Euro 4 (200 ps)3 previous owners,Dublin
Audi,Audi Q2 (TFSI),10/01/2024,"€21,153.00",2018,"32,692",SUV,Manual,Petrol,Navy Audi Q2S line 1.4 TFSI cylinder on demand 150 PS 6-speed 5dr2 previous owners,Cork
Audi,Audi Q2 (CoD),14/01/2024,"€29,341.00",2021,"10,255",SUV,Automatic,Petrol,Grey Audi Q2S line 35 TFSI 150 PS S tronic 1.5 5dr1 previous owner,Dublin
Audi,Audi A1 (Black Edition),2024-01-15,"€14,933.00",2016,"31,341",Hatchback,Automatic,Diesel,Navy Audi A11.6 TDI Black Edition S Tronic Euro 6 (s/s) 3dr2 previous owners,Meath
Audi,Audi Q2 (TFSI),16/01/2024,"€20,366.00",2017,36368,SUV,Automatic,Petrol,Black Audi Q21.4 TFSI (150ps) S-Line (CoD) S Tronic SUV 5dr1 previous owner,Kerry
